;;;;;;;;;;;
;;HOc2;LGOc6;;;HOc2;LGOc6;;;HOc2;LGOc6
Serial;Timestamp;Bid Close;Bid Close;;Timestamp;Ask Close;Ask Close;;Timestamp;Trade Volume;Trade Volume
42115,1458333333;21/4/15 3:30;1,8717;587,25;;4/21/15 3:30;1,8727;587,75;;4/21/15 3:30;370;128
42115,1666666667;21/4/15 4:00;1,8829;590,75;;4/21/15 4:00;1,8838;591;;4/21/15 4:00;418;284
42115,1875;21/4/15 4:30;1,8804;589,25;;4/21/15 4:30;1,8817;589,75;;4/21/15 4:30;84;338
42115,2083333333;21/4/15 5:00;1,8722;587;;4/21/15 5:00;1,874;587,5;;4/21/15 5:00;480;15
42115,2291666667;21/4/15 5:30;1,8772;588,75;;4/21/15 5:30;1,8784;589;;4/21/15 5:30;67;35
42115,25;21/4/15 6:00;1,8762;588,5;;4/21/15 6:00;1,8777;589;;4/21/15 6:00;162;87
42115,2708333333;21/4/15 6:30;1,8688;586,25;;4/21/15 6:30;1,8701;586,75;;4/21/15 6:30;271;3
42115,2916666667;21/4/15 7:00;1,8731;587,75;;4/21/15 7:00;1,8741;588,25;;4/21/15 7:00;184;13
42115,3125;21/4/15 7:30;1,8772;589,25;;4/21/15 7:30;1,878;589,75;;4/21/15 7:30;910;120
42115,3333333333;21/4/15 8:00;1,8799;589,5;;4/21/15 8:00;1,8803;590,25;;4/21/15 8:00;1409;120
42115,3541666667;21/4/15 8:30;1,8772;588,5;;4/21/15 8:30;1,8776;588,75;;4/21/15 8:30;4437;34
42115,375;21/4/15 9:00;1,8741;587,75;;4/21/15 9:00;1,8747;588,25;;4/21/15 9:00;3025;27
42115,3958333333;21/4/15 9:30;1,8753;588;;4/21/15 9:30;1,8759;588,5;;4/21/15 9:30;2960;11
42115,4166666667;21/4/15 10:00;1,8731;587;;4/21/15 10:00;1,8734;587,25;;4/21/15 10:00;4846;938
42115,4375;21/4/15 10:30;1,8743;587,5;;4/21/15 10:30;1,8749;588;;4/21/15 10:30;2995;780
42115,4583333333;21/4/15 11:00;1,8701;586;;4/21/15 11:00;1,8706;586,5;;4/21/15 11:00;1206;1747
42115,4791666667;21/4/15 11:30;1,8747;587,5;;4/21/15 11:30;1,8751;588,25;;4/21/15 11:30;2304;124
42115,5;21/4/15 12:00;1,8703;585,75;;4/21/15 12:00;1,8706;586,25;;4/21/15 12:00;2419;10
42115,5208333333;21/4/15 12:30;1,8645;584;;4/21/15 12:30;1,8651;584,5;;4/21/15 12:30;3013;81
42115,5416666667;21/4/15 13:00;1,8615;583,25;;4/21/15 13:00;1,8621;583,75;;4/21/15 13:00;3388;13
42115,5625;21/4/15 13:30;1,8552;581,75;;4/21/15 13:30;1,8555;582;;4/21/15 13:30;10456;232
42115,5833333333;21/4/15 14:00;1,8586;582,75;;4/21/15 14:00;1,8593;583,5;;4/21/15 14:00;1843;71
42115,6041666667;21/4/15 14:30;1,8595;583;;4/21/15 14:30;1,8602;584;;4/21/15 14:30;1764;6
42115,625;21/4/15 15:00;1,8564;582;;4/21/15 15:00;1,8567;582,75;;4/21/15 15:00;399;1
42115,6458333333;21/4/15 15:30;1,8584;583;;4/21/15 15:30;1,8597;583,25;;4/21/15 15:30;152;1
42115,6666666667;21/4/15 16:00;1,8487;579,75;;4/21/15 16:00;1,8501;581;;4/21/15 16:00;814;12
42115,6875;21/4/15 16:30;1,845;580,25;;4/21/15 16:30;1,9249;581,75;;4/21/15 16:30;22;12
42115,7083333333;21/4/15 17:00;1,8549;580,25;;4/21/15;1,8549;581,75;;4/21/15;88;12
42115,7291666667;21/4/15 17:30;1,8468;580,25;;4/21/15 17:30;1,849;581,75;;4/21/15 18:30;19;12
42115,7708333333;21/4/15 18:30;1,8501;580,25;;4/21/15 18:30;1,8524;581,75;;4/21/15 19:00;10;12
42115,7916666667;21/4/15 19:00;1,8506;580,25;;4/21/15 19:00;1,8522;581,75;;4/21/15 19:30;62;12
42115,8125;21/4/15 19:30;1,8514;580,25;;4/21/15 19:30;1,8522;581,75;;4/21/15 20:00;11;12
42115,8333333333;21/4/15 20:00;1,8529;580,25;;4/21/15 20:00;1,8536;581,75;;4/21/15 20:30;85;12
42115,8541666667;21/4/15 20:30;1,852;581;;4/21/15 20:30;1,8527;581,75;;4/21/15 21:00;53;12
42115,875;21/4/15 21:00;1,8454;578,5;;4/21/15 21:00;1,8466;579,5;;4/21/15 21:30;43;12
42115,8958333333;21/4/15 21:30;1,8434;578,25;;4/21/15 21:30;1,8442;579;;4/21/15 22:00;10;12
42115,9166666667;21/4/15 22:00;1,8436;578,25;;4/21/15 22:00;1,8445;579;;4/21/15 22:30;28;12
42115,9375;21/4/15 22:30;1,8442;578,5;;4/21/15 22:30;1,8465;579,75;;4/21/15 23:00;13;12
42115,9583333333;21/4/15 23:00;1,8432;578,25;;4/21/15 23:00;1,8437;579,25;;4/21/15 23:30;3;12
42115,9791666667;21/4/15 23:30;1,8433;578,5;;4/21/15 23:30;1,8445;579,25;;4/22/15 0:00;26;12
42116;22/4/15 0:00;1,8431;578,25;;4/22/15 0:00;1,8444;579;;4/22/15 0:30;6;12
42116,0208333333;22/4/15 0:30;1,8432;578,75;;4/22/15 0:30;1,8444;579;;4/22/15 1:00;61;12
42116,0416666667;22/4/15 1:00;1,8414;577,75;;4/22/15 1:00;1,8418;578,25;;4/22/15 1:30;26;1
42116,0625;22/4/15 1:30;1,8426;578;;4/22/15 1:30;1,8437;578,75;;4/22/15 2:00;125;1
42116,0833333333;22/4/15 2:00;1,8474;579,75;;4/22/15 2:00;1,8486;580,25;;4/22/15 2:30;280;1
42116,1041666667;22/4/15 2:30;1,8427;577,75;;4/22/15 2:30;1,8438;578,25;;4/22/15 3:00;130;2
42116,125;22/4/15 3:00;1,8473;579,5;;4/22/15 3:00;1,848;580;;4/22/15 3:30;153;2
42116,1458333333;22/4/15 3:30;1,8434;577,75;;4/22/15 3:30;1,8445;578;;4/22/15 4:00;123;16
42116,1666666667;22/4/15 4:00;1,8476;579,25;;4/22/15 4:00;1,8487;580;;4/22/15 4:30;101;421
42116,1875;22/4/15 4:30;1,8484;579,5;;4/22/15 4:30;1,8495;579,75;;4/22/15 5:00;96;113
42116,2083333333;22/4/15 5:00;1,8487;579,75;;4/22/15 5:00;1,8496;580,25;;4/22/15 5:30;125;33
